Note_1,Note_2,Note_3,Note_4,Note_5,Note_6,Note_7,Note_8,Note_9,Note_10,Note_11,Note_12,Note_13,Note_14,Note_15,Note_16,Note_17,Note_18,Note_19,Note_20,Note_21,Note_22,Note_23,Note_24,Note_25,Note_26,Note
130.81,293.66,329.63,146.83,130.81,293.66,329.63,146.83,130.81,293.66,329.63,164.81,146.83,261.63,146.83,329.63,329.63,293.66,130.81,293.66,329.63,146.83,130.81,261.63,130.81,146.83,D
293.66,220.00,261.63,146.83,146.83,110.00,261.63,146.83,293.66,110.00,261.63,130.81,293.66,293.66,220.00,261.63,130.81,146.83,146.83,220.00,261.63,293.66,164.81,293.66,146.83,110.00,D
220.00,130.81,146.83,261.63,220.00,261.63,293.66,261.63,110.00,130.81,293.66,146.83,130.81,220.00,261.63,293.66,293.66,261.63,110.00,130.81,146.83,261.63,110.00,220.00,220.00,261.63,D
220.00,261.63,293.66,130.81,220.00,130.81,146.83,130.81,110.00,261.63,293.66,293.66,130.81,110.00,261.63,146.83,146.83,261.63,220.00,130.81,146.83,261.63,110.00,220.00,220.00,261.63,D
261.63,164.81,329.63,164.81,261.63,329.63,329.63,329.63,261.63,329.63,329.63,329.63,329.63,261.63,329.63,164.81,329.63,164.81,130.81,164.81,164.81,164.81,146.83,130.81,130.81,329.63,S
329.63,196.00,110.00,196.00,164.81,196.00,220.00,196.00,329.63,196.00,220.00,110.00,196.00,329.63,196.00,220.00,110.00,196.00,329.63,196.00,110.00,196.00,110.00,329.63,164.81,196.00,P
220.00,196.00,164.81,164.81,220.00,196.00,164.81,329.63,220.00,196.00,329.63,164.81,164.81,220.00,196.00,329.63,164.81,329.63,110.00,196.00,329.63,329.63,293.66,220.00,220.00,196.00,D
164.81,329.63,293.66,130.81,329.63,329.63,146.83,261.63,329.63,329.63,293.66,293.66,261.63,164.81,164.81,146.83,146.83,130.81,164.81,164.81,146.83,261.63,261.63,329.63,164.81,164.81,D
220.00,261.63,220.00,110.00,220.00,130.81,220.00,220.00,220.00,261.63,220.00,220.00,220.00,110.00,261.63,220.00,110.00,110.00,220.00,261.63,110.00,220.00,220.00,220.00,110.00,261.63,D
110.00,130.81,220.00,110.00,110.00,130.81,110.00,110.00,110.00,130.81,110.00,110.00,110.00,110.00,261.63,110.00,220.00,220.00,110.00,261.63,220.00,110.00,110.00,220.00,110.00,261.63,D
164.81,329.63,196.00,196.00,164.81,164.81,196.00,196.00,329.63,329.63,196.00,196.00,196.00,164.81,164.81,196.00,196.00,196.00,164.81,164.81,196.00,196.00,220.00,329.63,164.81,164.81,P
164.81,164.81,293.66,329.63,164.81,164.81,146.83,329.63,329.63,329.63,146.83,293.66,329.63,164.81,329.63,293.66,293.66,329.63,329.63,329.63,293.66,329.63,293.66,164.81,164.81,329.63,R
329.63,196.00,164.81,329.63,329.63,196.00,329.63,164.81,164.81,196.00,164.81,329.63,164.81,164.81,196.00,329.63,164.81,164.81,164.81,196.00,164.81,164.81,293.66,329.63,329.63,196.00,P
196.00,164.81,329.63,293.66,196.00,164.81,329.63,293.66,196.00,164.81,329.63,329.63,146.83,196.00,329.63,329.63,164.81,146.83,196.00,329.63,329.63,146.83,261.63,196.00,196.00,329.63,P
293.66,110.00,130.81,146.83,293.66,220.00,261.63,146.83,146.83,220.00,261.63,130.81,146.83,293.66,110.00,130.81,130.81,146.83,146.83,220.00,130.81,146.83,164.81,146.83,293.66,220.00,R
261.63,146.83,329.63,293.66,261.63,293.66,329.63,146.83,261.63,146.83,164.81,164.81,146.83,130.81,146.83,164.81,329.63,146.83,261.63,293.66,329.63,293.66,130.81,261.63,130.81,293.66,S
196.00,110.00,220.00,196.00,196.00,110.00,220.00,196.00,196.00,110.00,110.00,110.00,196.00,196.00,220.00,220.00,110.00,196.00,196.00,220.00,220.00,196.00,329.63,196.00,196.00,220.00,P
164.81,164.81,196.00,196.00,329.63,164.81,196.00,196.00,329.63,329.63,196.00,196.00,196.00,164.81,164.81,196.00,196.00,196.00,164.81,164.81,196.00,196.00,110.00,164.81,329.63,164.81,P
220.00,196.00,164.81,164.81,220.00,196.00,164.81,164.81,220.00,196.00,164.81,329.63,329.63,110.00,196.00,164.81,164.81,164.81,220.00,196.00,329.63,329.63,293.66,110.00,110.00,196.00,P
196.00,164.81,196.00,196.00,196.00,164.81,196.00,196.00,196.00,329.63,196.00,196.00,196.00,196.00,329.63,196.00,196.00,196.00,196.00,329.63,196.00,196.00,196.00,196.00,196.00,329.63,P
261.63,261.63,261.63,146.83,130.81,130.81,130.81,293.66,261.63,130.81,130.81,130.81,146.83,261.63,261.63,130.81,130.81,293.66,261.63,130.81,261.63,146.83,293.66,261.63,130.81,261.63,P
164.81,164.81,196.00,196.00,329.63,164.81,196.00,196.00,329.63,329.63,196.00,196.00,196.00,329.63,164.81,196.00,196.00,196.00,329.63,164.81,196.00,196.00, ,164.81,164.81,329.63,P
329.63,196.00,164.81,196.00,329.63,196.00,329.63,196.00,164.81,196.00,164.81,329.63,196.00,329.63,196.00,164.81,164.81,196.00,329.63,196.00,164.81,196.00,110.00,329.63,329.63,196.00,P
220.00,261.63,220.00,110.00,220.00,130.81,220.00,110.00,110.00,130.81,110.00,220.00,220.00,110.00,261.63,220.00,220.00,110.00,220.00,261.63,220.00,220.00,110.00,220.00,220.00,261.63,D
261.63,220.00,130.81,146.83,261.63,110.00,261.63,293.66,130.81,110.00,261.63,130.81,146.83,130.81,220.00,130.81,130.81,146.83,130.81,220.00,130.81,293.66,164.81,261.63,261.63,110.00,R
130.81,293.66,164.81,293.66,261.63,146.83,329.63,293.66,261.63,146.83,329.63,164.81,146.83,130.81,293.66,164.81,164.81,293.66,130.81,146.83,164.81,293.66,329.63,130.81,130.81,146.83,G
220.00,130.81,220.00,110.00,220.00,261.63,220.00,110.00,220.00,261.63,110.00,220.00,220.00,110.00,130.81,220.00,220.00,220.00,110.00,261.63,110.00,220.00,196.00,110.00,110.00,261.63,D
261.63,110.00,130.81,293.66,261.63,110.00,130.81,293.66,261.63,220.00,130.81,261.63,146.83,130.81,110.00,130.81,261.63,146.83,261.63,220.00,130.81,146.83,164.81,130.81,130.81,110.00,R
164.81,164.81,110.00,196.00,164.81,164.81,110.00,196.00,329.63,329.63,220.00,110.00,196.00,164.81,164.81,220.00,110.00,196.00,329.63,164.81,220.00,196.00,329.63,164.81,329.63,329.63,P
164.81,164.81,196.00,164.81,329.63,164.81,196.00,329.63,329.63,164.81,196.00,196.00,329.63,164.81,329.63,196.00,196.00,164.81,164.81,329.63,196.00,329.63,329.63,329.63,329.63,329.63,P
164.81,146.83,329.63,293.66,329.63,146.83,329.63,146.83,164.81,146.83,164.81,164.81,293.66,164.81,293.66,164.81,329.63,293.66,329.63,146.83,164.81,146.83,130.81,329.63,164.81,293.66,G
329.63,196.00,164.81,329.63,329.63,196.00,164.81,329.63,164.81,196.00,164.81,329.63,164.81,164.81,196.00,164.81,329.63,164.81,329.63,196.00,164.81,329.63,146.83,164.81,164.81,196.00,P
164.81,196.00,220.00,261.63,329.63,196.00,110.00,130.81,164.81,196.00,220.00,110.00,261.63,329.63,196.00,220.00,220.00,261.63,329.63,196.00,110.00,130.81,110.00,164.81,329.63,196.00,P
164.81,164.81,164.81,164.81,329.63,164.81,164.81,164.81,329.63,329.63,164.81,164.81,329.63,329.63,329.63,329.63,329.63,329.63,329.63,329.63,164.81,164.81,146.83,164.81,329.63,164.81,G
261.63,293.66,329.63,196.00,130.81,293.66,329.63,196.00,261.63,293.66,329.63,329.63,196.00,130.81,293.66,329.63,329.63,196.00,130.81,293.66,329.63,196.00,110.00,130.81,130.81,293.66,S
164.81,164.81,220.00,196.00,164.81,329.63,110.00,196.00,164.81,329.63,110.00,110.00,196.00,164.81,329.63,220.00,220.00,196.00,329.63,329.63,110.00,196.00,110.00,329.63,164.81,329.63,P
293.66,261.63,220.00,220.00,146.83,261.63,110.00,110.00,146.83,130.81,220.00,110.00,110.00,293.66,261.63,220.00,220.00,220.00,146.83,130.81,110.00,220.00,196.00,146.83,293.66,261.63,D
196.00,110.00,110.00,196.00,196.00,110.00,220.00,196.00,196.00,110.00,220.00,110.00,196.00,196.00,110.00,110.00,220.00,196.00,196.00,110.00,110.00,196.00,164.81,196.00,196.00,110.00,P
164.81,164.81,293.66,164.81,329.63,329.63,293.66,164.81,164.81,329.63,293.66,293.66,329.63,164.81,329.63,293.66,146.83,329.63,164.81,164.81,293.66,329.63,146.83,329.63,164.81,164.81,R
164.81,329.63,293.66,130.81,164.81,164.81,293.66,261.63,164.81,164.81,146.83,146.83,261.63,329.63,329.63,293.66,146.83,130.81,164.81,164.81,146.83,261.63,261.63,164.81,164.81,329.63,G
164.81,164.81,329.63,110.00,164.81,164.81,164.81,220.00,329.63,164.81,329.63,164.81,220.00,329.63,164.81,329.63,164.81,110.00,329.63,164.81,164.81,110.00,196.00,329.63,329.63,329.63,G
261.63,293.66,329.63,293.66,261.63,293.66,164.81,293.66,261.63,293.66,164.81,329.63,293.66,130.81,146.83,164.81,329.63,146.83,130.81,146.83,329.63,293.66,130.81,130.81,130.81,293.66,S
164.81,196.00,220.00,130.81,329.63,196.00,220.00,130.81,164.81,196.00,110.00,220.00,261.63,164.81,196.00,110.00,110.00,130.81,329.63,196.00,110.00,261.63,220.00,329.63,164.81,196.00,P
196.00,164.81,196.00,196.00,196.00,329.63,196.00,196.00,196.00,164.81,196.00,196.00,196.00,196.00,164.81,196.00,196.00,196.00,196.00,329.63,196.00,196.00,164.81,196.00,196.00,164.81,P
293.66,110.00,130.81,146.83,146.83,110.00,261.63,293.66,293.66,110.00,261.63,261.63,146.83,293.66,110.00,261.63,261.63,293.66,146.83,110.00,261.63,293.66,164.81,146.83,146.83,110.00,R
261.63,329.63,164.81,164.81,130.81,329.63,164.81,329.63,130.81,164.81,164.81,164.81,329.63,261.63,329.63,329.63,329.63,164.81,130.81,164.81,164.81,164.81,164.81,130.81,261.63,164.81,G
220.00,196.00,261.63,130.81,220.00,196.00,261.63,130.81,110.00,196.00,261.63,261.63,261.63,110.00,196.00,261.63,130.81,261.63,110.00,196.00,130.81,130.81,261.63,220.00,110.00,196.00,P
196.00,220.00,220.00,196.00,196.00,110.00,220.00,196.00,196.00,220.00,110.00,220.00,196.00,196.00,110.00,110.00,220.00,196.00,196.00,110.00,220.00,196.00,164.81,196.00,196.00,110.00,P
130.81,293.66,130.81,164.81,130.81,293.66,130.81,164.81,130.81,146.83,261.63,261.63,329.63,261.63,293.66,261.63,261.63,164.81,130.81,293.66,130.81,329.63,293.66,261.63,130.81,293.66,S
146.83,261.63,220.00,110.00,293.66,261.63,220.00,220.00,146.83,130.81,110.00,220.00,110.00,146.83,261.63,220.00,110.00,220.00,293.66,130.81,110.00,110.00,196.00,146.83,146.83,261.63,G
130.81,293.66,261.63,164.81,130.81,146.83,130.81,329.63,261.63,146.83,261.63,130.81,329.63,130.81,293.66,261.63,130.81,329.63,261.63,146.83,130.81,164.81,293.66,130.81,130.81,146.83,R
164.81,329.63,196.00,196.00,164.81,329.63,196.00,196.00,164.81,164.81,196.00,196.00,196.00,164.81,164.81,196.00,196.00,196.00,164.81,164.81,196.00,196.00,110.00,329.63,164.81,329.63,P
261.63,110.00,261.63,293.66,261.63,220.00,130.81,293.66,130.81,110.00,261.63,261.63,293.66,130.81,220.00,261.63,130.81,146.83,261.63,110.00,261.63,293.66,329.63,130.81,261.63,220.00,S
220.00,196.00,261.63,261.63,220.00,196.00,130.81,130.81,220.00,196.00,261.63,261.63,261.63,220.00,196.00,261.63,130.81,261.63,220.00,196.00,130.81,130.81, ,110.00,110.00,196.00,P
329.63,293.66,196.00,164.81,329.63,146.83,196.00,329.63,329.63,146.83,196.00,196.00,164.81,164.81,146.83,196.00,196.00,329.63,164.81,146.83,196.00,329.63,146.83,329.63,164.81,293.66,P
164.81,329.63,329.63,220.00,329.63,164.81,164.81,220.00,329.63,164.81,164.81,329.63,220.00,329.63,164.81,164.81,329.63,110.00,329.63,164.81,329.63,110.00,196.00,329.63,164.81,164.81,D
130.81,293.66,164.81,293.66,261.63,146.83,329.63,293.66,261.63,146.83,329.63,329.63,146.83,130.81,146.83,329.63,329.63,146.83,130.81,293.66,164.81,293.66,164.81,130.81,130.81,146.83,G
220.00,164.81,293.66,146.83,220.00,164.81,146.83,146.83,110.00,164.81,293.66,293.66,293.66,220.00,329.63,146.83,293.66,146.83,110.00,164.81,293.66,293.66,130.81,110.00,220.00,329.63,P
293.66,261.63,220.00,220.00,146.83,130.81,220.00,220.00,146.83,261.63,220.00,220.00,110.00,293.66,261.63,220.00,220.00,110.00,146.83,130.81,220.00,220.00,196.00,146.83,146.83,130.81,D
164.81,164.81,293.66,130.81,164.81,164.81,146.83,130.81,329.63,329.63,146.83,293.66,261.63,329.63,164.81,146.83,293.66,130.81,329.63,329.63,293.66,261.63,261.63,329.63,329.63,329.63,S
261.63,293.66,164.81,196.00,130.81,293.66,329.63,196.00,261.63,293.66,164.81,164.81,196.00,261.63,293.66,329.63,164.81,196.00,261.63,146.83,329.63,196.00,220.00,130.81,261.63,293.66,D
196.00,164.81,196.00,196.00,196.00,329.63,196.00,196.00,196.00,329.63,196.00,196.00,196.00,196.00,329.63,196.00,196.00,196.00,196.00,329.63,196.00,196.00,329.63,196.00,196.00,329.63,P
164.81,329.63,196.00,329.63,164.81,164.81,196.00,164.81,164.81,164.81,196.00,196.00,329.63,329.63,164.81,196.00,196.00,164.81,329.63,164.81,196.00,164.81,329.63,329.63,329.63,329.63,P
329.63,164.81,196.00,196.00,164.81,164.81,196.00,196.00,164.81,164.81,196.00,196.00,196.00,164.81,164.81,196.00,196.00,196.00,329.63,329.63,196.00,196.00, ,164.81,164.81,329.63,P
130.81,293.66,329.63,146.83,261.63,146.83,164.81,146.83,261.63,146.83,329.63,164.81,293.66,261.63,146.83,329.63,329.63,293.66,130.81,293.66,329.63,146.83,261.63,261.63,261.63,146.83,S
110.00,196.00,130.81,261.63,110.00,196.00,261.63,130.81,220.00,196.00,130.81,261.63,261.63,110.00,196.00,261.63,261.63,130.81,110.00,196.00,261.63,130.81, ,220.00,220.00,196.00,P
329.63,164.81,329.63,146.83,329.63,329.63,329.63,293.66,329.63,164.81,164.81,164.81,146.83,164.81,329.63,329.63,329.63,146.83,329.63,329.63,329.63,146.83,329.63,329.63,164.81,329.63,G
164.81,146.83,329.63,146.83,164.81,146.83,329.63,146.83,329.63,293.66,329.63,164.81,293.66,329.63,146.83,329.63,164.81,146.83,329.63,293.66,329.63,293.66,130.81,164.81,329.63,293.66,R
164.81,164.81,329.63,293.66,164.81,329.63,164.81,146.83,164.81,329.63,164.81,329.63,146.83,329.63,164.81,329.63,164.81,146.83,164.81,164.81,329.63,293.66,329.63,164.81,329.63,164.81,G
261.63,146.83,164.81,146.83,130.81,293.66,329.63,146.83,130.81,146.83,164.81,164.81,146.83,130.81,146.83,164.81,329.63,293.66,261.63,146.83,329.63,146.83,261.63,261.63,261.63,146.83,G
329.63,196.00,220.00,261.63,164.81,196.00,220.00,130.81,329.63,196.00,220.00,220.00,130.81,164.81,196.00,110.00,110.00,261.63,329.63,196.00,220.00,261.63,110.00,329.63,164.81,196.00,P
164.81,196.00,110.00,261.63,329.63,196.00,220.00,261.63,329.63,196.00,110.00,220.00,130.81,329.63,196.00,110.00,220.00,261.63,164.81,196.00,110.00,130.81,220.00,329.63,164.81,196.00,P
261.63,146.83,164.81,293.66,130.81,293.66,164.81,146.83,261.63,146.83,164.81,164.81,146.83,261.63,293.66,164.81,329.63,293.66,261.63,146.83,164.81,146.83,261.63,261.63,261.63,293.66,D
164.81,196.00,329.63,164.81,329.63,196.00,329.63,329.63,329.63,196.00,329.63,164.81,329.63,329.63,196.00,329.63,164.81,329.63,164.81,196.00,329.63,164.81,293.66,329.63,329.63,196.00,R
164.81,164.81,164.81,329.63,164.81,329.63,329.63,164.81,329.63,164.81,329.63,329.63,164.81,329.63,164.81,329.63,164.81,329.63,164.81,164.81,164.81,164.81,293.66,164.81,164.81,329.63,G
164.81,329.63,196.00,329.63,329.63,329.63,196.00,329.63,164.81,164.81,196.00,196.00,329.63,329.63,329.63,196.00,196.00,164.81,164.81,329.63,196.00,164.81,164.81,329.63,164.81,329.63,P
164.81,329.63,196.00,196.00,329.63,164.81,196.00,196.00,329.63,329.63,196.00,196.00,196.00,164.81,329.63,196.00,196.00,196.00,329.63,164.81,196.00,196.00,164.81,329.63,329.63,164.81,P
130.81,261.63,130.81,293.66,261.63,130.81,261.63,146.83,130.81,261.63,130.81,261.63,146.83,261.63,130.81,130.81,261.63,293.66,261.63,261.63,130.81,146.83,293.66,261.63,130.81,261.63,S
329.63,196.00,110.00,261.63,329.63,196.00,110.00,130.81,164.81,196.00,110.00,220.00,261.63,329.63,196.00,110.00,110.00,130.81,329.63,196.00,220.00,130.81,110.00,329.63,164.81,196.00,P
329.63,293.66,196.00,164.81,329.63,293.66,196.00,164.81,164.81,293.66,196.00,196.00,164.81,329.63,146.83,196.00,196.00,164.81,329.63,293.66,196.00,329.63,146.83,329.63,329.63,293.66,P
130.81,146.83,261.63,329.63,130.81,146.83,130.81,329.63,261.63,146.83,130.81,130.81,329.63,130.81,146.83,261.63,130.81,164.81,261.63,146.83,261.63,329.63,293.66,130.81,261.63,146.83,R
220.00,261.63,146.83,261.63,110.00,261.63,293.66,261.63,220.00,261.63,293.66,146.83,261.63,220.00,261.63,146.83,293.66,130.81,220.00,130.81,146.83,261.63,110.00,220.00,220.00,261.63,D
329.63,164.81,164.81,110.00,329.63,329.63,329.63,220.00,164.81,164.81,164.81,164.81,110.00,164.81,329.63,164.81,329.63,110.00,329.63,164.81,164.81,110.00,196.00,164.81,164.81,329.63,G
261.63,130.81,261.63,293.66,130.81,261.63,261.63,293.66,261.63,130.81,261.63,261.63,293.66,261.63,261.63,130.81,130.81,293.66,261.63,261.63,130.81,293.66,146.83,261.63,261.63,261.63,S
329.63,329.63,293.66,164.81,164.81,164.81,146.83,164.81,164.81,164.81,293.66,146.83,164.81,164.81,329.63,293.66,293.66,329.63,329.63,329.63,293.66,329.63,293.66,164.81,164.81,164.81,D
329.63,329.63,329.63,110.00,164.81,329.63,329.63,110.00,164.81,329.63,164.81,329.63,110.00,329.63,329.63,164.81,164.81,220.00,164.81,329.63,164.81,220.00,196.00,329.63,329.63,164.81,D
261.63,130.81,130.81,146.83,261.63,130.81,130.81,293.66,261.63,261.63,261.63,130.81,293.66,130.81,130.81,130.81,261.63,293.66,261.63,130.81,261.63,146.83,146.83,130.81,261.63,130.81,R
164.81,196.00,164.81,196.00,329.63,196.00,164.81,196.00,329.63,196.00,164.81,164.81,196.00,329.63,196.00,164.81,329.63,196.00,329.63,196.00,164.81,196.00,110.00,329.63,329.63,196.00,P
130.81,146.83,329.63,196.00,130.81,293.66,329.63,196.00,130.81,146.83,164.81,329.63,196.00,130.81,293.66,164.81,329.63,196.00,130.81,293.66,329.63,196.00,220.00,130.81,130.81,293.66,P
164.81,329.63,196.00,196.00,329.63,164.81,196.00,196.00,164.81,329.63,196.00,196.00,196.00,164.81,329.63,196.00,196.00,196.00,164.81,329.63,196.00,196.00, ,329.63,164.81,329.63,P
261.63,146.83,329.63,293.66,261.63,293.66,164.81,293.66,130.81,146.83,329.63,164.81,293.66,130.81,146.83,329.63,329.63,146.83,261.63,146.83,329.63,293.66,261.63,130.81,130.81,293.66,S
164.81,196.00,110.00,130.81,164.81,196.00,110.00,130.81,164.81,196.00,110.00,110.00,261.63,164.81,196.00,220.00,110.00,261.63,164.81,196.00,110.00,261.63,220.00,329.63,329.63,196.00,G
329.63,293.66,261.63,146.83,164.81,293.66,130.81,146.83,329.63,293.66,130.81,261.63,293.66,329.63,293.66,261.63,261.63,293.66,329.63,293.66,130.81,146.83,220.00,329.63,329.63,293.66,R
329.63,146.83,196.00,164.81,329.63,293.66,196.00,329.63,329.63,146.83,196.00,196.00,329.63,164.81,293.66,196.00,196.00,164.81,329.63,293.66,196.00,164.81,146.83,329.63,164.81,146.83,P
164.81,164.81,164.81,110.00,164.81,329.63,164.81,110.00,329.63,329.63,329.63,164.81,110.00,329.63,164.81,164.81,329.63,220.00,164.81,329.63,329.63,110.00,196.00,164.81,164.81,329.63,G
220.00,130.81,110.00,220.00,110.00,261.63,110.00,220.00,110.00,130.81,110.00,220.00,110.00,110.00,261.63,220.00,220.00,110.00,220.00,261.63,110.00,110.00,220.00,110.00,110.00,130.81,S
329.63,196.00,220.00,196.00,164.81,196.00,110.00,196.00,164.81,196.00,220.00,220.00,196.00,329.63,196.00,220.00,110.00,196.00,164.81,196.00,220.00,196.00,220.00,164.81,164.81,196.00,P
329.63,164.81,220.00,220.00,164.81,164.81,220.00,110.00,329.63,329.63,220.00,110.00,110.00,164.81,164.81,220.00,110.00,220.00,164.81,329.63,110.00,110.00,196.00,164.81,329.63,329.63,G
261.63,164.81,329.63,164.81,130.81,164.81,329.63,164.81,261.63,164.81,329.63,329.63,164.81,130.81,329.63,329.63,329.63,329.63,261.63,329.63,329.63,329.63,329.63,261.63,261.63,164.81,S
220.00,196.00,329.63,164.81,110.00,196.00,329.63,329.63,220.00,196.00,329.63,329.63,329.63,110.00,196.00,329.63,164.81,164.81,110.00,196.00,329.63,329.63,146.83,220.00,220.00,196.00,D
329.63,329.63,220.00,110.00,164.81,329.63,110.00,110.00,164.81,164.81,110.00,220.00,110.00,164.81,164.81,220.00,220.00,220.00,329.63,164.81,220.00,110.00,196.00,329.63,329.63,329.63,D
329.63,196.00,110.00,261.63,329.63,196.00,220.00,130.81,329.63,196.00,220.00,110.00,130.81,329.63,196.00,220.00,220.00,261.63,164.81,196.00,110.00,261.63,110.00,329.63,329.63,196.00,D
329.63,196.00,220.00,130.81,329.63,196.00,110.00,261.63,164.81,196.00,110.00,110.00,261.63,164.81,196.00,110.00,220.00,130.81,329.63,196.00,110.00,261.63,110.00,329.63,164.81,196.00,P
130.81,293.66,164.81,293.66,261.63,146.83,164.81,293.66,261.63,146.83,329.63,329.63,146.83,130.81,146.83,329.63,329.63,146.83,130.81,146.83,329.63,293.66,130.81,261.63,261.63,293.66,S
261.63,293.66,164.81,293.66,261.63,293.66,329.63,293.66,130.81,293.66,329.63,164.81,146.83,130.81,146.83,164.81,164.81,146.83,130.81,293.66,164.81,293.66,130.81,130.81,261.63,293.66,D
220.00,196.00,261.63,130.81,220.00,196.00,261.63,130.81,220.00,196.00,261.63,130.81,130.81,110.00,196.00,261.63,261.63,130.81,220.00,196.00,130.81,261.63,110.00,220.00,110.00,196.00,P
220.00,329.63,293.66,293.66,110.00,164.81,293.66,293.66,110.00,329.63,293.66,293.66,146.83,220.00,329.63,146.83,293.66,146.83,220.00,329.63,293.66,146.83,261.63,220.00,220.00,329.63,S
329.63,196.00,329.63,196.00,329.63,196.00,164.81,196.00,329.63,196.00,329.63,164.81,196.00,329.63,196.00,164.81,329.63,196.00,164.81,196.00,164.81,196.00,110.00,329.63,164.81,196.00,P
261.63,146.83,164.81,146.83,130.81,146.83,329.63,146.83,130.81,146.83,329.63,164.81,146.83,261.63,293.66,164.81,164.81,146.83,130.81,146.83,329.63,293.66,164.81,130.81,130.81,293.66,R
164.81,146.83,329.63,146.83,164.81,146.83,164.81,293.66,329.63,146.83,329.63,164.81,293.66,329.63,293.66,329.63,329.63,293.66,329.63,293.66,164.81,146.83,130.81,164.81,329.63,293.66,R
329.63,196.00,110.00,130.81,164.81,196.00,110.00,130.81,329.63,196.00,110.00,110.00,130.81,164.81,196.00,220.00,220.00,261.63,164.81,196.00,110.00,261.63,110.00,164.81,164.81,196.00,G
164.81,146.83,164.81,146.83,329.63,146.83,329.63,146.83,164.81,146.83,164.81,164.81,146.83,329.63,293.66,329.63,329.63,293.66,164.81,146.83,164.81,146.83,261.63,164.81,164.81,293.66,G
110.00,261.63,220.00,110.00,220.00,130.81,110.00,220.00,110.00,130.81,220.00,110.00,110.00,110.00,130.81,110.00,110.00,110.00,110.00,261.63,110.00,220.00,196.00,110.00,220.00,261.63,D
146.83,220.00,261.63,146.83,293.66,220.00,130.81,293.66,293.66,220.00,130.81,261.63,146.83,146.83,110.00,261.63,261.63,293.66,146.83,110.00,261.63,146.83,329.63,146.83,293.66,220.00,D
164.81,329.63,110.00,196.00,329.63,329.63,220.00,196.00,164.81,164.81,110.00,110.00,196.00,329.63,164.81,220.00,220.00,196.00,329.63,329.63,110.00,196.00,220.00,164.81,329.63,329.63,P
220.00,261.63,293.66,130.81,110.00,130.81,293.66,130.81,220.00,261.63,293.66,146.83,130.81,220.00,130.81,293.66,146.83,130.81,220.00,130.81,146.83,261.63,220.00,110.00,110.00,130.81,R
329.63,164.81,329.63,164.81,164.81,329.63,164.81,329.63,329.63,329.63,164.81,164.81,164.81,329.63,329.63,164.81,329.63,329.63,164.81,329.63,329.63,329.63,293.66,329.63,164.81,164.81,G
164.81,164.81,329.63,110.00,164.81,329.63,329.63,220.00,164.81,164.81,329.63,164.81,110.00,329.63,164.81,329.63,164.81,110.00,329.63,164.81,329.63,110.00,196.00,164.81,329.63,164.81,G
196.00,329.63,196.00,196.00,196.00,329.63,196.00,196.00,196.00,164.81,196.00,196.00,196.00,196.00,164.81,196.00,196.00,196.00,196.00,329.63,196.00,196.00, ,196.00,196.00,329.63,P
